raiser_position,defender_position,defender_archetype,hand,avg_ev_bb
CO,BB,Nit,AA,1.5719731178033312
CO,BB,Nit,KK,1.5337640766056604
CO,BB,Nit,QQ,1.5096669280379535
CO,BB,Nit,JJ,1.5428908716256797
CO,BB,Nit,TT,1.5314146046203092
CO,BB,Nit,99,1.5337640766056604
CO,BB,Nit,88,1.5432824502899052
CO,BB,Nit,AKs,1.5458126508895143
CO,BB,Nit,77,1.5166249796868791
CO,BB,Nit,AKo,1.5337640766056604
CO,BB,Nit,AJo,1.5337640766056604
CO,BB,Nit,AQo,1.5337640766056604
CO,BB,Nit,AQs,1.5337640766056604
CO,BB,Nit,A9o,1.560707700847928
CO,BB,Nit,A7o,1.5337640766056604
CO,BB,Nit,KJs,1.5458126508895143
CO,BB,Nit,QJs,1.521715502321807
CO,BB,Nit,A7s,1.5337640766056604
CO,BB,Nit,A9s,1.5472584798035767
CO,BB,Nit,KTo,1.5337640766056604
CO,BB,Nit,A8o,1.5337640766056604
CO,BB,Nit,AJs,1.5458126508895143
CO,BB,Nit,ATs,1.5458126508895143
CO,BB,Nit,K9s,1.5491260088175738
CO,BB,Nit,55,1.5096669280379535
CO,BB,Nit,66,1.520811859250518
CO,BB,Nit,KQs,1.5337640766056604
CO,BB,Nit,A8s,1.5458126508895138
CO,BB,Nit,ATo,1.5337640766056604
CO,BB,Nit,A5s,1.5499091661460243
CO,BB,Nit,QTs,1.521715502321807
CO,BB,Nit,K8s,1.5507525663458939
CO,BB,Nit,KTs,1.5458126508895143
CO,BB,Nit,A4s,1.5337640766056604
CO,BB,Nit,KJo,1.5337640766056604
CO,BB,Nit,K5s,1.5337640766056604
CO,BB,Nit,A6s,1.5337640766056604
CO,BB,Nit,K9o,1.5483880336426878
CO,BB,Nit,A3s,1.5499694090174436
CO,BB,Nit,44,1.5410835854831015
CO,BB,Nit,KQo,1.5337640766056604
CO,BB,Nit,K7s,1.5337640766056604
CO,BB,Nit,Q8s,1.5269566321352837
CO,BB,Nit,A5o,1.549668194660347
CO,BB,Nit,Q5s,1.5096669280379535
CO,BB,Nit,A4o,1.5458126508895138
CO,BB,Nit,Q9o,1.53954739226191
CO,BB,Nit,QTo,1.5096669280379535
CO,BB,Nit,Q9s,1.5268963892638638
CO,BB,Nit,A6o,1.5337640766056604
CO,BB,Nit,A2s,1.5337640766056604
CO,BB,Nit,JTs,1.5458126508895143
CO,BB,Nit,K4o,1.5458126508895138
CO,BB,Nit,K6s,1.5337640766056604
CO,BB,Nit,K8o,1.5458126508895143
CO,BB,Nit,K7o,1.5337640766056604
CO,BB,Nit,J9o,1.5458126508895143
CO,BB,Nit,J8s,1.5389750849834272
CO,BB,Nit,JTo,1.5458126508895143
CO,BB,Nit,K4s,1.5337640766056604
CO,BB,Nit,K2s,1.5337640766056604
CO,BB,Nit,K6o,1.5337640766056604
CO,BB,Nit,J9s,1.5425896572685833
CO,BB,Nit,K3s,1.550571837731636
CO,BB,Nit,A3o,1.549999530453153
CO,BB,Nit,Q6s,1.5096669280379535
CO,BB,Nit,QJo,1.5096669280379535
CO,BB,Nit,33,1.5482524871819943
CO,BB,Nit,Q3s,1.527800032335153
CO,BB,Nit,J7s,1.521715502321807
CO,BB,Nit,Q6o,1.5096669280379535
CO,BB,Nit,Q7s,1.5096669280379535
CO,BB,Nit,J5s,1.521715502321807
CO,BB,Nit,J6s,1.521715502321807
CO,BB,Nit,T9o,1.5458126508895143
CO,BB,Nit,Q7o,1.5096669280379535
CO,BB,Nit,A2o,1.5458126508895143
CO,BB,Nit,K5o,1.5337640766056604
CO,BB,Nit,K3o,1.5500597733245725
CO,BB,Nit,Q8o,1.521715502321807
CO,BB,Nit,T7s,1.521715502321807
CO,BB,Nit,J8o,1.5337640766056608
CO,BB,Nit,97s,1.525269831735544
CO,BB,Nit,T8s,1.544517429154
CO,BB,Nit,Q4s,1.5096669280379535
CO,BB,Nit,J4s,1.521715502321807
CO,BB,Nit,J3s,1.539728120876168
CO,BB,Nit,96s,1.524245702921416
CO,BB,Nit,J7o,1.521715502321807
CO,BB,Nit,Q5o,1.5096669280379535
CO,BB,Nit,J4o,1.5458126508895138
CO,BB,Nit,98s,1.5427703858828412
CO,BB,Nit,T9s,1.534968934034046
CO,BB,Nit,K2o,1.5458126508895143
CO,BB,Nit,Q4o,1.5337640766056604
CO,BB,Nit,22,1.5502706233745398
CO,BB,Nit,98o,1.5369117666373173
CO,BB,Nit,Q2s,1.5096669280379535
CO,BB,Nit,T8o,1.5337640766056608
CO,BB,Nit,Q3o,1.5275289394137663
CO,BB,Nit,J6o,1.521715502321807
CO,BB,Nit,J5o,1.521715502321807
CO,BB,Nit,J2s,1.521715502321807
CO,BB,Nit,T4s,1.521715502321807
CO,BB,Nit,T3s,1.5394269065190718
CO,BB,Nit,97o,1.5247878887641895
CO,BB,Nit,87s,1.527559060849476
CO,BB,Nit,96o,1.5250137995320119
