table_name,player,archetype,session_length
+111aLuBwnz8YVYSA7J1jA,E7HfYJjOPh0Lsvk88yOq3A,LAG,4
+111aLuBwnz8YVYSA7J1jA,ZNMHkqeSYW3x2dcTKOKu4g,Maniac,10
+111aLuBwnz8YVYSA7J1jA,ILXzNdrQcbQEg9sI6hDGZQ,Insufficient sample,16
+111aLuBwnz8YVYSA7J1jA,ZNMHkqeSYW3x2dcTKOKu4g,Maniac,5
+111aLuBwnz8YVYSA7J1jA,71WcPQ8wpXl7l4D3eQcdMg,TAG,21
+111aLuBwnz8YVYSA7J1jA,7iyzb6ZPOQ1bveRr+kxjcQ,Loose-passive,27
+111aLuBwnz8YVYSA7J1jA,mWCla5EnE3FScmsbQzUmXg,TAG,21
+111aLuBwnz8YVYSA7J1jA,g08Dlzn2lhSj4Bf8HliRqg,LAG,44
+111aLuBwnz8YVYSA7J1jA,mWCla5EnE3FScmsbQzUmXg,TAG,5
+111aLuBwnz8YVYSA7J1jA,pcW9tDnNTKxOdhETcIPEQQ,Loose-passive,20
+111aLuBwnz8YVYSA7J1jA,7iyzb6ZPOQ1bveRr+kxjcQ,Loose-passive,16
+111aLuBwnz8YVYSA7J1jA,226qPV3djB8nLcttVJV2uw,Insufficient sample,3
+111aLuBwnz8YVYSA7J1jA,pcW9tDnNTKxOdhETcIPEQQ,Loose-passive,18
+111aLuBwnz8YVYSA7J1jA,kPozIcN69cYvWJjqy/kkdw,TAG,65
+111aLuBwnz8YVYSA7J1jA,rLIJ0rjdktP2gdI4o3TTDw,Insufficient sample,36
+111aLuBwnz8YVYSA7J1jA,5QqvJxfddUJ5IwSnVRIjCg,TAG,6
+111aLuBwnz8YVYSA7J1jA,pcW9tDnNTKxOdhETcIPEQQ,Loose-passive,22
+111aLuBwnz8YVYSA7J1jA,LMKQuTqrRNzCSRb88F3aJA,TAG,9
+111aLuBwnz8YVYSA7J1jA,RiZjRKEDsrQw3TvDcwdO1g,LAG,92
+111aLuBwnz8YVYSA7J1jA,gIrEZQMoaA8RYvyYFnTg7Q,LAG,6
+111aLuBwnz8YVYSA7J1jA,fOo6alTGSSq0NtSbQiouvw,Station,50
+111aLuBwnz8YVYSA7J1jA,gIrEZQMoaA8RYvyYFnTg7Q,LAG,5
+111aLuBwnz8YVYSA7J1jA,J2liOmWWv4Gi0uuHDhbDOw,Maniac,6
+111aLuBwnz8YVYSA7J1jA,gIrEZQMoaA8RYvyYFnTg7Q,LAG,2
